probe	entrez	gene	pval.exp	odds.exp	pval.anthr	odds.exp.1	pval.expAnth	odds.expAnth	adjpval
214554_at	8332	HIST1H2AL	0.700186278200919	0.461445485846605	0.0862173897896086	5.01461273531522	0.491371972853967	2.48576553894784	0.890832048662005
214616_at	8353	HIST1H3E	0.350082003653031	0.664366535592196	0.0893042193189342	4.41082027679899	0.491931659851237	2.01979334139307	0.890832048662005
213719_s_at	6597	SMARCA4	0.430907940168953	1.672609043865	0.0808193461646863	3.81853696554409	0.49221698340926	0.458407133428969	0.890832048662005
214548_x_at	2778	GNAS	0.748305328636653	2.58136726192042	0.0765304544224041	3.87758084875859	0.495384870017826	0.407593547834882	0.893101717263063
209463_s_at	6883	TAF12	0.793871010040068	2.03054548306772	0.0738932616448787	4.43478418537698	0.497096915460848	0.478998401797408	0.893101717263063
203743_s_at	6996	TDG	0.315709956202409	3.09093078867991	0.0741257629686107	4.79844874923444	0.498576128667717	0.430699691593462	0.893101717263063
221633_at	29781	NCAPH2	0.0394866002800723	0.296762689838043	0.0704095104033799	5.24465315806651	0.499942809120084	2.01232157547263	0.893101717263063
210858_x_at	472	ATM	0.737038874576802	1.53139155058276	0.0782677363872861	3.76673843623108	0.504755272006308	0.568269435852522	0.898790032733813
215888_at	23047	PDS5B	0.702231177996633	1.66425089058602	0.0802362505949793	3.95181762977734	0.507875208340356	0.515810472172274	0.900574693274626
201547_at	10765	KDM5B	0.654453334131526	2.1922929510639	0.0755137631055179	3.51705475510134	0.509315704409592	0.504868659122023	0.900574693274626
212921_at	56950	SMYD2	0.700019856532079	2.24902585361879	0.0741430956739089	4.07715456440699	0.511773529509872	0.484562268097429	0.900574693274626
208576_s_at	8358	HIST1H3B	0.572498115876817	2.1927669672605	0.0743406932920465	3.23529990255778	0.513089969448753	0.529322058170897	0.900574693274626
213188_s_at	84864	MINA	0.252955649223418	2.92447647576795	0.0716739212395198	4.06220648756489	0.514004846185818	0.461655777568213	0.900574693274626
206543_at	6595	SMARCA2	0.632585780158905	1.98053290560605	0.0756826837882109	3.39163707008107	0.515546382381851	0.565992132810306	0.900574693274626
214728_x_at	6597	SMARCA4	0.0305227695037827	0.19422485814242	0.0817011133867658	5.29122631006427	0.52406080379419	2.75186588031623	0.905806065216669
211352_s_at	8202	NCOA3	0.374646117848145	0.746748997333402	0.0644120869294067	4.06507785279731	0.525372771157455	1.85634469106759	0.905806065216669
213146_at	23135	KDM6B	0.816079504445352	0.418929046909076	0.0787936835265723	4.20778612411848	0.529934988617776	2.48926194182262	0.905806065216669
214300_s_at	7156	TOP3A	0.567418177359102	0.57563997698198	0.0748651879331853	4.3924989538956	0.535428265057545	2.17637363741203	0.905806065216669
214360_at	6597	SMARCA4	0.734298802947037	0.433513336395328	0.0803396492270593	4.57897534321383	0.535917113747546	2.12453158686463	0.905806065216669
200780_x_at	2778	GNAS	0.728777468822079	2.32111867266824	0.0766248786156676	3.97204180601294	0.536191548597001	0.468472414426884	0.905806065216669
206544_x_at	6595	SMARCA2	0.322337127945997	1.30791036954729	0.0686153063820454	4.19000943245733	0.536269732860034	0.536074503737376	0.905806065216669
205062_x_at	5926	ARID4A	0.813859034066083	0.529884536890272	0.0755921152170913	3.64352660401296	0.536954212006312	1.86412632416925	0.905806065216669
211803_at	1017	CDK2	0.765868752960245	1.46465339364427	0.0696700177037189	3.41575597320696	0.539175921560503	0.60857863446215	0.905806065216669
212614_at	84159	ARID5B	0.129987348352844	0.386595867884126	0.0852743484617804	3.70329444307526	0.539598308810244	1.76288681879494	0.905806065216669
201643_x_at	51780	KDM3B	0.722818649532792	0.666487181271472	0.0811018450939942	3.63334440790432	0.540202344939699	1.74348704551677	0.905806065216669
215273_s_at	10474	TADA3	0.767571599756038	2.29907670061311	0.0773605334521834	3.86857358090753	0.541033304963232	0.46349825840224	0.905806065216669
201321_s_at	6601	SMARCC2	0.811871008396637	0.495671229354238	0.0772039838661408	3.39159648385311	0.541262905993419	1.9852795865372	0.905806065216669
214396_s_at	8932	MBD2	0.814162516744593	0.436923062017057	0.0853424538030132	5.0133497911915	0.542656819262843	2.23748329932109	0.905806065216669
216624_s_at	4297	KMT2A	0.800980584343028	1.69164461334148	0.081074160610957	3.77862453083119	0.543817328501136	0.544355545336906	0.905806065216669
208553_at	3008	HIST1H1E	0.800559991612549	1.66726837973034	0.0729985706429572	3.39911440500039	0.545325865872325	0.61092480122488	0.905806065216669
221820_s_at	84148	KAT8	0.784727474585582	0.364686819333715	0.0755813949049283	4.15136659492282	0.546437354560056	2.58910331260267	0.905806065216669
215437_x_at	11176	BAZ2A	0.612937628893493	0.494510947539146	0.0788850769715485	4.21890660594305	0.550844115567492	1.7470966499994	0.906809192635818
206951_at	8367	HIST1H4E	0.758951789547731	0.542476141341302	0.077034132169076	5.0531904238321	0.551476123437714	1.73187402327644	0.906809192635818
218554_s_at	55870	ASH1L	0.820963541527724	1.69274207319963	0.0748278963539454	3.67532857754812	0.552554218996018	0.547111183774165	0.906809192635818
205215_at	6045	RNF2	0.37671304937178	0.719961219724736	0.092165794510318	3.65344183619179	0.554705370093077	1.94360824361595	0.906809192635818
219528_s_at	64919	BCL11B	0.840291941231263	1.62589588180097	0.0804864201686919	3.44634665211986	0.555518223473017	0.584388152209384	0.906809192635818
203056_s_at	7799	PRDM2	0.661275930406125	1.53025315740462	0.0776377377556856	3.48496345537246	0.556899123738301	0.542260185314354	0.906809192635818
214562_at	8368	HIST1H4L	0.657211322592644	0.583289763696773	0.0709830946999186	4.20957295622838	0.56010670611198	2.04841413588004	0.90934971109945
207728_at	55729	ATF7IP	0.326715149590161	0.434844461270774	0.0883322501281708	4.05242347780686	0.564441115604201	1.75539911840083	0.910272021503826
212672_at	472	ATM	0.716115836119503	1.86038031196206	0.0752700306621563	4.17485737127171	0.566985316722755	0.596372368963975	0.910272021503826
206013_s_at	51412	ACTL6B	0.188776970656782	0.654542335370259	0.0850060436775015	4.65875650355842	0.570485826801693	1.88951680820841	0.910272021503826
221151_at	56979	PRDM9	0.135713118025938	0.365714465438466	0.0773676677178717	4.43193623630799	0.571014944126863	1.8078271271207	0.910272021503826
212920_at	5978	REST	0.151083942892881	2.9669053961542	0.0708935005445779	4.81215044180834	0.571564288897194	0.510813457955578	0.910272021503826
202116_at	5977	DPF2	0.599110854914961	2.04576863021421	0.0709019289360246	4.04686970664147	0.572500261529989	0.396384870778479	0.910272021503826
214537_at	3007	HIST1H1D	0.652415264089236	0.40351203856156	0.0820058700359352	5.06418650980988	0.572899590820933	2.13519163507774	0.910272021503826
217057_s_at	2778	GNAS	0.847494160198135	0.483519612763853	0.0821158537215736	6.08385671917082	0.574114442564895	2.14162656208858	0.910272021503826
218987_at	55729	ATF7IP	0.487351987919192	2.65627122336677	0.0773270448751658	3.23624572317713	0.577997580767707	0.481343975341931	0.910272021503826
208793_x_at	6597	SMARCA4	0.0234202195305085	0.305608864462083	0.0716088915929174	5.14837787829926	0.578044572228437	1.73240945757706	0.910272021503826
45526_g_at	79903	NAA60	0.762710697642984	0.467296034272295	0.0747396499842266	3.84507587198943	0.585076372434784	1.97089900522977	0.910272021503826
200608_s_at	5885	RAD21	0.817524628680565	1.51932307892426	0.0755633776997338	3.65559429417972	0.586337551683472	0.599772248900271	0.910272021503826
209106_at	8648	NCOA1	0.241304237474595	1.20323945975073	0.081622551578131	4.34583861533097	0.586413082276484	0.546548762228505	0.910272021503826
213867_x_at	60	ACTB	0.776787805875693	2.11101327552373	0.07424055117654	4.60268755424052	0.586800252665289	0.514410576455964	0.910272021503826
200801_x_at	60	ACTB	0.485640029555754	2.63288267483519	0.073883305332294	4.54587436379174	0.587005161007987	0.485105574507171	0.910272021503826
208527_x_at	8344	HIST1H2BE	0.85280154887639	0.598156619370754	0.0802521352297115	4.38386487815036	0.59153382830503	1.65539677176275	0.910272021503826
215698_at	5927	KDM5A	0.102153864558764	2.38487104376891	0.0673903826359807	3.64155130210529	0.591572875462387	0.586890971825654	0.910272021503826
201073_s_at	6599	SMARCC1	0.449463324850533	1.28485045342238	0.0732271060021208	3.49772882173442	0.592478523862857	0.576644657644342	0.910272021503826
219841_at	57379	AICDA	0.861181926955882	0.480352530540431	0.0843629825476724	4.69937338840373	0.594462194313472	2.06933833801166	0.910272021503826
212916_at	23133	PHF8	0.765554408745599	1.71499932579207	0.0757970986627369	3.80286922046097	0.600027987679317	0.494465231852874	0.910272021503826
209584_x_at	27350	APOBEC3C	0.178331275737756	1.11466971148301	0.105358194851581	3.29632629175625	0.60314599289884	0.546970982546599	0.910272021503826
219755_at	57332	CBX8	0.516073882385512	0.420134224626683	0.0898111386887542	4.22470271987425	0.60368863676755	1.95306658457328	0.910272021503826
209062_x_at	8202	NCOA3	0.578117684064985	0.755653121421161	0.0737140312565949	4.5231722488545	0.605845501758807	1.69589919618761	0.910272021503826
216326_s_at	8841	HDAC3	0.456017405291357	0.426477351890104	0.0811970749766016	3.77296063575543	0.607050966616753	1.83250176496465	0.910272021503826
212984_at	1386	ATF2	0.322367234303245	0.797554644042497	0.0742812266563647	3.65867209028453	0.607541722006426	1.8078051500873	0.910272021503826
214500_at	9555	H2AFY	0.408040259447362	0.826156969570008	0.0737582490579773	3.59858185277209	0.609429041215841	1.62602649021217	0.910272021503826
201827_at	6603	SMARCD2	0.678425964217827	1.3008418338967	0.074713025238584	3.41364308864162	0.611739526934807	0.599405741787407	0.910272021503826
208583_x_at	8331	HIST1H2AJ	0.870849898238461	0.690992951029352	0.0847696774631608	4.3168779886309	0.612020082207435	1.53763983037068	0.910272021503826
219753_at	10734	STAG3	0.649030155847467	0.368299717545456	0.0848809928297508	5.90065942959238	0.613269171558047	2.16182903744631	0.910272021503826
207138_at	5253	PHF2	0.69901847283724	0.456365517988358	0.0741505904502099	4.85238226932577	0.616369296964291	1.92605375516	0.910272021503826
206160_at	10930	APOBEC2	0.875006611509669	0.606885714841905	0.0751694295607511	4.36866504384843	0.616549353164154	1.63823602316447	0.910272021503826
206014_at	51412	ACTL6B	0.0587176524940439	0.945153747564747	0.0646093447511144	4.15908276329165	0.617199399374857	1.47965867262336	0.910272021503826
220070_at	79831	KDM8	0.87882479668198	0.603150903997246	0.0750323828858397	4.24540304250926	0.618941770799812	1.71303527210544	0.910272021503826
206724_at	8535	CBX4	0.882850433545284	1.48989238763474	0.0757831979516874	3.81826536402159	0.619049639197638	0.656630202331103	0.910272021503826
214502_at	8970	HIST1H2BJ	0.150439923412312	0.279994415945945	0.0666774257833179	6.2905115931641	0.62030912801723	2.15630180549253	0.910272021503826
215714_s_at	6597	SMARCA4	0.0106968040736485	0.198225942497567	0.0837285570496747	4.83030978525439	0.621535248919532	2.33275804518491	0.910272021503826
208551_at	8369	HIST1H4G	0.129529589543726	1.06469114867533	0.075237185434435	3.64053337362372	0.621689405990838	0.573123246966025	0.910272021503826
202816_s_at	6760	SS18	0.889262131656915	1.67108912014373	0.0787915530988947	3.96327259014234	0.628088838765201	0.587403028675782	0.914690467461607
219497_s_at	53335	BCL11A	0.137924170853444	1.02707475144285	0.082583470486105	2.81761625868139	0.62867577958262	0.555106261320647	0.914690467461607
207611_at	8340	HIST1H2BL	0.135593760986311	0.368543455364003	0.0607594015135263	5.28431332413323	0.629678220354005	1.81908336718486	0.914690467461607
206542_s_at	6595	SMARCA2	0.198757129200911	1.16298338784165	0.0718972094502252	4.37434026388065	0.6327771812129	0.557712621430687	0.914923394062018
208794_s_at	6597	SMARCA4	0.293326201236353	0.364831067400098	0.0854717748590517	4.26613961346614	0.63325102561795	1.96379072651372	0.914923394062018
200981_x_at	2778	GNAS	0.863597089431341	1.89961428008562	0.0770967675881669	3.73183925515452	0.634810978126364	0.54796884124483	0.914923394062018
213211_s_at	10629	TAF6L	0.84870016475766	1.68092428797021	0.0809884340508511	3.99750294140102	0.637652814192156	0.541909679121812	0.916625920401224
219198_at	9329	GTF3C4	0.293635489553067	1.2994032933404	0.073951651150856	3.41424058667557	0.639863266901109	0.520336297993005	0.917137084762235
208577_at	8352	HIST1H3C	0.728867802592183	1.89291736507944	0.0741921641926002	3.60004844724433	0.641331367243157	0.607813551797915	0.917137084762235
217088_s_at	9437	NCR1	0.799996136171474	0.542417405957423	0.0749990197805195	4.04967034912265	0.646374736512267	1.68953445503835	0.920988613026655
215917_at	642636	RAD21L1	0.901855545150152	1.20048116276559	0.0752407231618757	3.73490575452709	0.650568565723429	0.799419232357574	0.920988613026655
201614_s_at	8607	RUVBL1	0.771086275341264	1.7532837423095	0.0806721529268645	3.55002088867498	0.653585155382387	0.642860418831153	0.920988613026655
217836_s_at	55249	YY1AP1	0.853439488541128	1.52144012652646	0.0772918349256445	4.09277981764018	0.653675547796346	0.595318650165578	0.920988613026655
218911_at	8089	YEATS4	0.274267386454971	0.978222108521854	0.0773825378749015	3.59961822506518	0.653740801782736	0.673562655178971	0.920988613026655
218661_at	79903	NAA60	0.858585243245958	1.5668044381555	0.0773049598081765	3.99294794085519	0.654035391859509	0.585915702454205	0.920988613026655
212287_at	23512	SUZ12	0.248045236981341	2.11927181787001	0.0703080600519981	4.21291026678907	0.657327712201929	0.673233125833087	0.923034079902847
213210_at	10629	TAF6L	0.495742631762965	0.520653454469959	0.0781300707077949	4.37644613882548	0.658832296162539	1.49198073172311	0.923034079902847
214426_x_at	10036	CHAF1A	0.892350048229403	1.46623018441646	0.0776006681038222	3.44577095292686	0.662747681676135	0.63183313272915	0.926168912114497
213336_at	9031	BAZ1B	0.0601691649478178	0.37801856167621	0.0564794967135208	4.74887929278792	0.666084066495262	1.55986287120019	0.928436162863111
216711_s_at	6872	TAF1	0.82537324307535	1.50259066413321	0.0784223236628614	3.75366670401426	0.669518062810818	0.59803899997266	0.928436162863111
215989_at	84733	CBX2	0.474767963728115	1.73742062261723	0.0709561972492291	3.81480696773471	0.671335460825795	0.706469433208796	0.928436162863111
201072_s_at	6599	SMARCC1	0.423148362957998	0.454415252054429	0.0833797608796812	4.30187660971564	0.673587419010842	1.69707774352236	0.928436162863111
218996_at	29844	TFPT	0.840156531401009	0.727984647477859	0.0770869114459201	4.36855137546275	0.678562264446197	1.55156840333901	0.928436162863111
210027_s_at	328	APEX1	0.915665385339601	1.72669004537545	0.0753707867508311	4.05627367925814	0.679296261511797	0.557317066727881	0.928436162863111
222067_x_at	3017	HIST1H2BD	0.869567454546254	0.646534801458311	0.0769361444588939	4.20480657312084	0.679674386767438	1.47246115891488	0.928436162863111
208445_s_at	9031	BAZ1B	0.690752921753501	1.37008729339577	0.0743902752651586	3.85391782737698	0.681423490106582	0.599990558920547	0.928436162863111
207158_at	339	APOBEC1	0.237111615437382	0.813256219958027	0.0770576504756887	4.07062796851155	0.681731985342119	1.73990542702429	0.928436162863111
209984_at	23081	KDM4C	0.73498258077376	1.88679112433299	0.0781548824787492	4.2013957095325	0.682026784062545	0.611561792483102	0.928436162863111
220928_s_at	63976	PRDM16	0.130816295596797	0.376514821827374	0.0755916392635148	4.60197724491455	0.6828715255841	1.68401743101132	0.928436162863111
208515_at	8342	HIST1H2BM	0.374582208064833	0.89417520739787	0.0842134209463585	4.09841316055575	0.688267085553167	1.55589778559652	0.931265853376625
205621_at	8846	ALKBH1	0.193726597072289	0.977106797726023	0.0806383638648748	3.72442818940749	0.688326935104462	1.54858316016978	0.931265853376625
212206_s_at	94239	H2AFV	0.905985682226369	0.599544695779685	0.0777162527484123	3.65721153617393	0.691460971167405	1.62145740858969	0.931569314591329
215337_at	9862	MED24	0.553837603221139	1.78604024110075	0.0864285927540631	3.59026885474923	0.691926483663849	0.681458599889438	0.931569314591329
204099_at	6604	SMARCD3	0.802895859344963	0.714676067193004	0.0841380543879974	3.8040776967264	0.694782380933861	1.61155457091428	0.933138380232339
211989_at	6605	SMARCE1	0.720104369765658	0.543389284372042	0.077249129375082	5.2873119849368	0.698440024471937	2.42209671712571	0.935774013370168
219129_s_at	79685	SAP30L	0.0590698750975794	2.46853931837925	0.0763100977956264	4.06350036795132	0.703162899642318	0.663754201447358	0.939561887939694
208484_at	3024	HIST1H1A	0.893290350070363	0.7387006313604	0.076305290873367	3.88536686408402	0.705211753258246	1.45630810584435	0.939561887939694
202326_at	10919	EHMT2	0.890584025968061	0.528330147911931	0.0784641761485096	4.0474348114351	0.709076277431522	1.77155996735076	0.939561887939694
203975_s_at	10036	CHAF1A	0.493169572021653	1.17968957901327	0.0907220850351881	3.36377385961877	0.712893881521851	0.620190685538157	0.939561887939694
208579_x_at	54145	H2BFS	0.764201443808842	0.631253778769414	0.0738349579181112	4.17062428939993	0.715153149356101	1.4085632061903	0.939561887939694
209352_s_at	23309	SIN3B	0.0176955438967161	0.342637084331591	0.0811708413140397	4.04463383637325	0.717275250245483	1.53098400984604	0.939561887939694
213579_s_at	2033	EP300	0.899020552623967	0.631056785839373	0.0769743551747611	3.73831796582067	0.718366782286273	1.50938405156092	0.939561887939694
208546_x_at	8345	HIST1H2BH	0.904981241330184	0.759609852401791	0.0809995327922451	4.00018592970308	0.719073346295743	1.41720121105169	0.939561887939694
212465_at	84193	SETD3	0.933884348911338	1.51773377097176	0.0776046707136386	4.28276473573252	0.7203102521454	0.636188654424383	0.939561887939694
212520_s_at	6597	SMARCA4	0.301817065834665	0.43814278858431	0.081194090765612	4.38667223666867	0.720937112106993	1.60184634785451	0.939561887939694
212348_s_at	23028	KDM1A	0.428431410604164	0.463895796532165	0.0668558388369652	4.48405153336209	0.721436710816255	1.61251530222061	0.939561887939694
209259_s_at	9126	SMC3	0.682173914188415	1.40965209056703	0.0777905931820033	4.01320834025259	0.721867151282837	0.594314840538379	0.939561887939694
207983_s_at	10735	STAG2	0.928468815469948	0.692463861242915	0.0765048932454099	3.67761942546567	0.724015693458826	1.52987603800903	0.939561887939694
203991_s_at	7403	KDM6A	0.757513723229625	0.554349801861997	0.0734022299605234	3.92062088734927	0.726559467894974	1.56285088550974	0.939561887939694
203990_s_at	7403	KDM6A	0.0678891922522238	0.777465071040159	0.0660196492757702	3.80070334637631	0.726798779257698	0.695294775604874	0.939561887939694
212615_at	80205	CHD9	0.896722893052466	0.740675576156442	0.0753774267104939	3.66572634674057	0.731657508224047	1.47339279774068	0.940821110277233
209718_at	29781	NCAPH2	0.259246068639305	1.02395291995157	0.0711866460781684	3.69012123376524	0.736898977327465	0.674167355899153	0.940821110277233
202817_s_at	6760	SS18	0.713925052580235	1.73431380019112	0.0786986838011939	4.19532451249595	0.737551096658991	0.669923855321786	0.940821110277233
211874_s_at	23522	KAT6B	0.885391320301616	0.607112956031003	0.0763077237355254	4.27014327221907	0.737611845882684	1.54461269496742	0.940821110277233
AFFX-HSAC07/X00351_5_at	60	ACTB	0.77018917510711	1.19402611703334	0.0794399194053778	4.07247377403287	0.738677468803216	0.716633108128424	0.940821110277233
201833_at	3066	HDAC2	0.945881422773369	1.51688243577726	0.0786922973190486	3.39024846844204	0.738715375876689	0.647253409107257	0.940821110277233
209271_at	2186	BPTF	0.919685071709334	1.29547178564378	0.076004674329773	3.88444639315325	0.739703554094781	0.714768835747502	0.940821110277233
218917_s_at	8289	ARID1A	0.710512266176439	0.568854530633337	0.0795615931257374	3.37851411660021	0.743935675883849	1.4878530672798	0.944028719742264
203992_s_at	7403	KDM6A	0.396741420729053	0.497197138818849	0.0757028518871422	3.64778329265058	0.749065501182195	1.49224397650266	0.948358157460027
221230_s_at	51742	ARID4B	0.937156380766124	1.33032006564267	0.0771343102428348	4.19326774062217	0.752894652110441	0.76622434376339	0.950139638198076
214644_at	8330	HIST1H2AK	0.571091538671584	0.564665191006565	0.0750749072175758	4.19502880789766	0.753915147700647	1.40928492679911	0.950139638198076
221616_s_at	51616	TAF9B	0.954299508888911	1.3589216150713	0.0779960683679742	3.8939318069753	0.760524034602822	0.717000446208551	0.950729000453283
212238_at	171023	ASXL1	0.431654996836532	0.986679469410557	0.087041232240932	3.7215475805211	0.76173190569837	0.744342200041669	0.950729000453283
214994_at	200316	APOBEC3F	0.328330176579926	0.960434537090463	0.0702513173287226	3.7486261553218	0.762662449574322	0.745787097063184	0.950729000453283
207860_at	9437	NCR1	0.882000647962653	0.825698495648513	0.0761918171474525	4.14385175611461	0.763300830054817	1.36856977203895	0.950729000453283
